ID,Timestamp,X,Y,Button,Duration
014-poly-328,1680030920.7859957,1696,587,-1,-1
014-poly-328,1680030920.8019772,1698,584,-1,-1
014-poly-328,1680030920.8099675,1700,584,-1,-1
014-poly-328,1680030920.8179584,1700,582,-1,-1
014-poly-328,1680030920.8419304,1700,581,-1,-1
014-poly-328,1680030920.8818839,1700,580,-1,-1
014-poly-328,1680030920.9218373,1700,578,-1,-1
014-poly-328,1680030920.9533045,1700,577,-1,-1
014-poly-328,1680030920.969286,1700,576,-1,-1
014-poly-328,1680030920.9772763,1700,575,-1,-1
014-poly-328,1680030920.9852672,1700,573,-1,-1
014-poly-328,1680030920.9932578,1700,572,-1,-1
014-poly-328,1680030921.0012486,1700,571,-1,-1
014-poly-328,1680030921.0092392,1700,569,-1,-1
014-poly-328,1680030921.0172298,1701,567,-1,-1
014-poly-328,1680030921.0252206,1702,567,-1,-1
014-poly-328,1680030921.0332112,1702,565,-1,-1
014-poly-328,1680030921.0412018,1702,564,-1,-1
014-poly-328,1680030921.0491927,1702,563,-1,-1
014-poly-328,1680030921.0571833,1702,562,-1,-1
014-poly-328,1680030921.0731645,1702,560,-1,-1
014-poly-328,1680030921.0811555,1702,560,-1,-1
014-poly-328,1680030921.097137,1703,559,-1,-1
014-poly-328,1680030921.4652119,1703,559,-1,-1
014-poly-328,1680030921.4811933,1703,559,-1,-1
014-poly-328,1680030921.4891837,1702,561,-1,-1
014-poly-328,1680030921.4971762,1701,562,-1,-1
014-poly-328,1680030921.5051653,1699,563,-1,-1
014-poly-328,1680030921.5131562,1699,567,-1,-1
014-poly-328,1680030921.5291371,1696,571,-1,-1
014-poly-328,1680030921.5371277,1695,574,-1,-1
014-poly-328,1680030921.5451186,1693,579,-1,-1
014-poly-328,1680030921.5531092,1690,586,-1,-1
014-poly-328,1680030921.5610998,1689,590,-1,-1
014-poly-328,1680030921.570089,1688,593,-1,-1
014-poly-328,1680030921.57808,1687,598,-1,-1
014-poly-328,1680030921.5860708,1685,604,-1,-1
014-poly-328,1680030921.5940614,1683,608,-1,-1
014-poly-328,1680030921.6020522,1682,610,-1,-1
014-poly-328,1680030921.6100426,1680,616,-1,-1
014-poly-328,1680030921.6180334,1679,617,-1,-1
014-poly-328,1680030921.626024,1678,618,-1,-1
014-poly-328,1680030921.6340146,1678,620,-1,-1
014-poly-328,1680030921.6579869,1677,621,-1,-1
014-poly-328,1680030921.6899495,1676,622,-1,-1
014-poly-328,1680030921.6979406,1675,622,-1,-1
014-poly-328,1680030921.7059307,1675,623,-1,-1
014-poly-328,1680030921.7139218,1674,623,-1,-1
014-poly-328,1680030921.7219121,1674,625,-1,-1
014-poly-328,1680030921.7299035,1673,627,-1,-1
014-poly-328,1680030921.7378933,1672,628,-1,-1
014-poly-328,1680030921.7458842,1671,629,-1,-1
014-poly-328,1680030921.7538748,1669,632,-1,-1
014-poly-328,1680030921.7618654,1665,636,-1,-1
014-poly-328,1680030921.7698562,1662,639,-1,-1
014-poly-328,1680030921.7778468,1660,642,-1,-1
014-poly-328,1680030921.785838,1657,646,-1,-1
014-poly-328,1680030921.8018188,1652,652,-1,-1
014-poly-328,1680030921.8098097,1651,653,-1,-1
014-poly-328,1680030921.8178003,1651,654,-1,-1
014-poly-328,1680030921.825791,1650,654,-1,-1
014-poly-328,1680030921.8892212,1650,654,1,-1
014-poly-328,1680030922.0180717,1650,654,1,0.12885046005249023
014-poly-328,1680030922.0740056,1650,655,-1,-1
014-poly-328,1680030922.0819962,1649,655,-1,-1
014-poly-328,1680030922.0899868,1648,656,-1,-1
014-poly-328,1680030922.0979779,1647,658,-1,-1
014-poly-328,1680030922.1059682,1645,659,-1,-1
014-poly-328,1680030922.1139603,1644,662,-1,-1
014-poly-328,1680030922.1219494,1642,664,-1,-1
014-poly-328,1680030922.1299403,1641,665,-1,-1
014-poly-328,1680030922.1379309,1639,666,-1,-1
014-poly-328,1680030922.1459215,1638,670,-1,-1
014-poly-328,1680030922.1539123,1636,673,-1,-1
014-poly-328,1680030922.161903,1635,674,-1,-1
014-poly-328,1680030922.1698937,1634,674,-1,-1
014-poly-328,1680030922.177884,1634,675,-1,-1
014-poly-328,1680030922.185875,1633,677,-1,-1
014-poly-328,1680030922.1938658,1632,677,-1,-1
014-poly-328,1680030923.0179124,1632,678,-1,-1
014-poly-328,1680030923.0259027,1632,679,-1,-1
014-poly-328,1680030923.1692395,1631,680,-1,-1
014-poly-328,1680030923.1852212,1630,680,-1,-1
014-poly-328,1680030923.1932116,1629,680,-1,-1
014-poly-328,1680030923.2491467,1589,679,-1,-1
014-poly-328,1680030923.2731185,1498,676,-1,-1
014-poly-328,1680030923.2900987,1469,676,-1,-1
014-poly-328,1680030923.30608,1450,676,-1,-1
014-poly-328,1680030923.314071,1449,676,-1,-1
014-poly-328,1680030923.457903,1448,675,-1,-1
014-poly-328,1680030923.4818752,1448,674,-1,-1
014-poly-328,1680030923.4898658,1448,673,-1,-1
014-poly-328,1680030923.4978576,1449,671,-1,-1
014-poly-328,1680030923.5058467,1450,670,-1,-1
014-poly-328,1680030923.5138378,1451,668,-1,-1
014-poly-328,1680030923.5218282,1451,667,-1,-1
014-poly-328,1680030923.5298188,1452,666,-1,-1
014-poly-328,1680030923.5378094,1453,666,-1,-1
014-poly-328,1680030923.5458004,1453,665,-1,-1
014-poly-328,1680030923.5532963,1454,663,-1,-1
014-poly-328,1680030923.5612872,1455,662,-1,-1
014-poly-328,1680030923.569278,1456,660,-1,-1
014-poly-328,1680030923.5772684,1458,658,-1,-1
014-poly-328,1680030923.5852592,1459,657,-1,-1
014-poly-328,1680030923.59325,1461,655,-1,-1
014-poly-328,1680030923.6012406,1463,654,-1,-1
014-poly-328,1680030923.6092315,1466,653,-1,-1
014-poly-328,1680030923.617222,1466,652,-1,-1
